frame,cx,cy,scale
0,0.0,120.0,1.35
1,0.0,120.0,1.35
2,0.0,120.0,1.35
3,0.0,120.0,1.35
4,0.0,120.0,1.35
5,0.0,120.0,1.35
6,0.0,120.0,1.35
7,0.0,120.0,1.35
8,0.0,120.0,1.35
9,0.0,120.0,1.35
10,0.0,120.0,1.35
11,0.0,120.0,1.35
12,0.0,120.0,1.35
13,0.0,120.0,1.35
14,0.0,120.0,1.35
15,0.0,120.0,1.35
16,0.0,120.0,1.35
17,0.0,120.0,1.35
18,0.0,120.0,1.35
19,0.0,120.0,1.35
20,0.0,120.0,1.35
21,0.0,120.0,1.35
22,0.0,120.0,1.35
23,0.0,120.0,1.35
24,0.0,120.0,1.35
25,0.0,120.0,1.35
26,0.0,120.0,1.35
27,0.0,120.0,1.35
28,0.0,120.0,1.35
29,0.0,120.0,1.35
30,0.0,120.0,1.35
31,0.0,120.0,1.35
32,0.0,120.0,1.35
33,0.0,120.0,1.35
34,0.0,120.0,1.35
35,0.0,120.0,1.35
36,0.0,120.0,1.35
37,0.0,120.0,1.35
38,0.0,120.0,1.35
39,0.0,120.0,1.35
40,0.0,120.0,1.35
41,0.0,120.0,1.35
42,0.0,120.0,1.35
43,0.0,120.0,1.35
44,0.0,120.0,1.35
45,0.0,120.0,1.35
46,0.0,120.0,1.35
47,0.0,120.0,1.35
48,0.0,120.0,1.35
49,0.0,120.0,1.35
50,0.0,120.0,1.35
51,0.0,120.0,1.35
52,0.0,120.0,1.35
53,0.0,120.0,1.35
54,0.0,120.0,1.35
55,0.0,120.0,1.35
56,0.0,120.0,1.35
57,0.0,120.0,1.35
58,0.0,120.0,1.35
59,0.0,120.0,1.35
60,0.0,120.0,1.35
61,0.0,120.0,1.35
62,0.0,120.0,1.35
63,0.0,120.0,1.35
64,0.0,120.0,1.35
65,0.0,120.0,1.35
66,0.0,120.0,1.35
67,0.0,120.0,1.35
68,0.0,120.0,1.35
69,0.0,120.0,1.35
70,0.0,120.0,1.35
71,0.0,120.0,1.35
72,0.0,120.0,1.35
73,0.0,120.0,1.35
74,0.0,120.0,1.35
75,0.0,120.0,1.35
76,0.0,120.0,1.35
77,0.0,120.0,1.35
78,0.0,120.0,1.35
79,0.0,120.0,1.35
80,0.0,120.0,1.35
81,0.0,120.0,1.35
82,0.0,120.0,1.35
83,0.0,120.0,1.35
84,0.0,120.0,1.35
85,0.0,120.0,1.35
86,0.0,120.0,1.35
87,0.0,120.0,1.35
88,0.0,120.0,1.35
89,0.0,120.0,1.35
90,0.0,120.0,1.35
91,0.0,120.0,1.35
92,0.0,120.0,1.35
93,0.0,120.0,1.35
94,0.0,120.0,1.35
95,0.0,120.0,1.35
96,0.0,120.0,1.35
97,0.0,120.0,1.35
98,0.0,120.0,1.35
99,0.0,120.0,1.35
100,0.0,120.0,1.35
101,0.0,120.0,1.35
102,0.0,120.0,1.35
103,0.0,120.0,1.35
104,0.0,120.0,1.35
105,0.0,120.0,1.35
106,0.0,120.0,1.35
107,0.0,120.0,1.35
108,0.0,120.0,1.35
109,0.0,120.0,1.35
110,0.0,120.0,1.35
111,0.0,120.0,1.35
112,0.0,120.0,1.35
113,0.0,120.0,1.35
114,0.0,120.0,1.35
115,0.0,120.0,1.35
116,0.0,120.0,1.35
117,0.0,120.0,1.35
118,0.0,120.0,1.35
119,0.0,120.0,1.35
120,0.0,120.0,1.35
121,0.0,120.0,1.35
122,0.0,120.0,1.35
123,0.0,120.0,1.35
124,0.0,120.0,1.35
125,0.0,120.0,1.35
126,0.0,120.0,1.35
127,0.0,120.0,1.35
128,0.0,120.0,1.35
129,0.0,120.0,1.35
130,0.0,120.0,1.35
131,0.0,120.0,1.35
132,0.0,120.0,1.35
133,0.0,120.0,1.35
134,0.0,120.0,1.35
135,0.0,120.0,1.35
136,0.0,120.0,1.35
137,0.0,120.0,1.35
138,0.0,120.0,1.35
139,0.0,120.0,1.35
140,0.0,120.0,1.35
141,0.0,120.0,1.35
142,0.0,120.0,1.35
143,0.0,120.0,1.35
144,0.0,120.0,1.35
145,0.0,120.0,1.35
146,0.0,120.0,1.35
147,0.0,120.0,1.35
148,0.0,120.0,1.35
149,0.0,120.0,1.35
150,0.0,120.0,1.35
151,0.0,120.0,1.35
152,0.0,120.0,1.35
153,0.0,120.0,1.35
154,0.0,120.0,1.35
155,0.0,120.0,1.35
156,0.0,120.0,1.35
157,0.0,120.0,1.35
158,0.0,120.0,1.35
159,0.0,120.0,1.35
160,0.0,120.0,1.35
161,0.0,120.0,1.35
162,0.0,120.0,1.35
163,0.0,120.0,1.35
164,0.0,120.0,1.35
165,0.0,120.0,1.35
166,0.0,120.0,1.35
167,0.0,120.0,1.35
168,0.0,120.0,1.35
169,0.0,120.0,1.35
170,0.0,120.0,1.35
171,0.0,120.0,1.35
172,0.0,120.0,1.35
173,0.0,120.0,1.35
174,0.0,120.0,1.35
175,0.0,120.0,1.35
176,0.0,120.0,1.35
177,0.0,120.0,1.35
178,0.0,120.0,1.35
179,0.0,120.0,1.35
180,0.0,120.0,1.35
181,0.0,120.0,1.35
182,0.0,120.0,1.35
183,0.0,120.0,1.35
184,0.0,120.0,1.35
185,0.0,120.0,1.35
186,0.0,120.0,1.35
187,0.0,120.0,1.35
188,0.0,120.0,1.35
189,0.0,120.0,1.35
190,0.0,120.0,1.35
191,0.0,120.0,1.35
192,0.0,120.0,1.35
193,0.0,120.0,1.35
194,0.0,120.0,1.35
195,0.0,120.0,1.35
196,0.0,120.0,1.35
197,0.0,120.0,1.35
198,0.0,120.0,1.35
199,0.0,120.0,1.35
200,0.0,120.0,1.35
201,0.0,120.0,1.35
202,0.0,120.0,1.35
203,0.0,120.0,1.35
204,0.0,120.0,1.35
205,0.0,120.0,1.35
206,0.0,120.0,1.35
207,0.0,120.0,1.35
208,0.0,120.0,1.35
209,0.0,120.0,1.35
210,0.0,120.0,1.35
211,0.0,120.0,1.35
212,0.0,120.0,1.35
213,0.0,120.0,1.35
214,0.0,120.0,1.35
215,0.0,120.0,1.35
216,0.0,120.0,1.35
217,0.0,120.0,1.35
218,0.0,120.0,1.35
219,0.0,120.0,1.35
220,0.0,120.0,1.35
221,0.0,120.0,1.35
222,0.0,120.0,1.35
223,0.0,120.0,1.35
224,0.0,120.0,1.35
225,0.0,120.0,1.35
226,0.0,120.0,1.35
227,0.0,120.0,1.35
228,0.0,120.0,1.35
229,0.0,120.0,1.35
230,0.0,120.0,1.35
231,0.0,120.0,1.35
232,0.0,120.0,1.35
233,0.0,120.0,1.35
234,0.0,120.0,1.35
235,0.0,120.0,1.35
236,0.0,120.0,1.35
237,0.0,120.0,1.35
238,0.0,120.0,1.35
239,0.0,120.0,1.35
240,0.0,120.0,1.35
241,0.0,120.0,1.35
242,0.0,120.0,1.35
243,0.0,120.0,1.35
244,0.0,120.0,1.35
245,0.0,120.0,1.35
246,0.0,120.0,1.35
247,0.0,120.0,1.35
248,0.0,120.0,1.35
249,0.0,120.0,1.35
250,0.0,120.0,1.35
251,0.0,120.0,1.35
252,0.0,120.0,1.35
253,0.0,120.0,1.35
254,0.0,120.0,1.35
255,0.0,120.0,1.35
256,0.0,120.0,1.35
257,0.0,120.0,1.35
258,0.0,120.0,1.35
259,0.0,120.0,1.35
260,0.0,120.0,1.35
261,0.0,120.0,1.35
262,0.0,120.0,1.35
263,0.0,120.0,1.35
264,0.0,120.0,1.35
265,0.0,120.0,1.35
266,0.0,120.0,1.35
267,0.0,120.0,1.35
268,0.0,120.0,1.35
269,0.0,120.0,1.35
270,0.0,120.0,1.35
271,0.0,120.0,1.35
272,0.0,120.0,1.35
273,0.0,120.0,1.35
274,0.0,120.0,1.35
275,0.0,120.0,1.35
276,0.0,120.0,1.35
